car,price,body,mileage,engV,engType,registration,year,model,drive
Ford,12226.5,vagon,91,1.6,Petrol,yes,2012,C-Max,front
Skoda,12226.5,crossover,83,1.2,Petrol,yes,2012,Yeti,front
Mercedes-Benz,12250,other,185,2.2,Diesel,yes,2012,Vito груз.,rear
Skoda,12300,sedan,102,1.6,Petrol,yes,2012,Octavia A5,front
Volkswagen,12300,hatch,62,1.4,Petrol,yes,2012,Polo,front
SsangYong,12400,crossover,70,2,Gas,yes,2012,Korando,front
Skoda,12400,sedan,110,1.8,Petrol,yes,2012,Octavia A5,front
Toyota,12400,hatch,52,1.4,Other,yes,2012,Prius,front
Honda,12400,hatch,52,1.4,Other,yes,2012,Insight,front
Renault,12499,van,78,2,Diesel,yes,2012,Trafic пасс.,front
Volkswagen,12499,other,184,2,Diesel,yes,2012,T6 (Transporter) груз,front
Chevrolet,12500,sedan,43,1.8,Petrol,yes,2012,Cruze,front
Chevrolet,12500,sedan,43,1.8,Petrol,yes,2012,Cruze,front
Ford,12500,sedan,99,1.6,Petrol,yes,2012,Mondeo,front
Mitsubishi,12500,other,48,1.6,Petrol,yes,2012,Lancer X,
Skoda,12500,sedan,33,1.6,Petrol,yes,2012,Octavia A5,front
Opel,12500,sedan,140,1.4,Petrol,yes,2012,Insignia,front
Toyota,12500,hatch,75,1.4,Diesel,yes,2012,Yaris,front
Kia,12599,hatch,91,1.6,Petrol,yes,2012,Ceed,front
Skoda,12600,sedan,108,1.8,Petrol,yes,2012,Octavia A5,
Hyundai,12600,sedan,87,1.6,Petrol,yes,2012,Elantra,front
Volkswagen,12700,van,213,2,Diesel,yes,2012,T5 (Transporter) груз,front
Hyundai,12700,vagon,90,2,Petrol,yes,2012,Tucson,full
Skoda,12700,vagon,105,1.8,Petrol,yes,2012,Octavia A5,front
Volkswagen,12700,van,164,1.6,Diesel,yes,2012,Touran,front
Citroen,12700,other,86,1.6,Petrol,yes,2012,Grand C4 Picasso,front
Volkswagen,12700,van,75,1.2,Petrol,yes,2012,Caddy пасс.,front
Toyota,12750,hatch,164,1.4,Diesel,yes,2012,Auris,front
Mercedes-Benz,12800,van,116,2.2,Diesel,yes,2012,Vito пасс.,
Hyundai,12800,sedan,106,2,Petrol,yes,2012,Sonata,front
Skoda,12800,vagon,94,1.8,Petrol,yes,2012,Octavia A5,front
Kia,12800,hatch,50,1.6,Petrol,yes,2012,Soul,front
Renault,12800,hatch,125,1.1,Diesel,yes,2012,Laguna,front
Renault,12850,other,226,2.3,Diesel,yes,2012,Master груз.,front
Volkswagen,12900,van,180,2,Diesel,yes,2012,T5 (Transporter) груз,front
Skoda,12900,sedan,91,1.8,Petrol,yes,2012,Octavia A5,front
Peugeot,12900,van,94,1.6,Diesel,yes,2012,3008,
Mercedes-Benz,12950,other,199,2.2,Diesel,yes,2012,Vito груз.,
Mercedes-Benz,12999,van,130,2.2,Diesel,yes,2012,Vito груз.,front
Mercedes-Benz,13000,other,247,2.2,Diesel,yes,2012,Sprinter 313 груз.,rear
SsangYong,13000,crossover,43,2,Diesel,yes,2012,Kyron,full
Skoda,13000,vagon,198,1.6,Diesel,yes,2012,Octavia A5,front
Hyundai,13000,sedan,6,1.4,Petrol,yes,2012,Accent,front
Nissan,13000,hatch,45,1,Other,yes,2012,Leaf,
Skoda,13100,hatch,86,1.8,Petrol,yes,2012,Octavia A5,front
Skoda,13150,hatch,108,1.8,Petrol,yes,2012,Octavia A5,front
Citroen,13200,hatch,85,NA,Diesel,yes,2012,C4,front
Mercedes-Benz,13200,other,196,2.2,Other,yes,2012,Sprinter 313 груз.,
Skoda,13200,hatch,64,1.8,Petrol,yes,2012,Octavia A5,front
Honda,13200,sedan,100,1.8,Petrol,yes,2012,Civic,front
Skoda,13200,hatch,67,1.8,Petrol,yes,2012,Octavia A5,front
Volkswagen,13200,van,150,1.4,Gas,yes,2012,Touran,front
Chevrolet,13300,hatch,77,1.8,Other,yes,2012,Cruze,front
Skoda,13300,hatch,90,1.8,Petrol,yes,2012,Octavia A5,front
Kia,13300,hatch,35,1.6,Petrol,yes,2012,Ceed,front
Renault,13300,other,132,1.5,Diesel,yes,2012,Megane,
Honda,13300,hatch,53,1.4,Other,yes,2012,Insight,front
Nissan,13303,hatch,33,NA,Other,yes,2012,Leaf,front
Honda,13400,sedan,38,1.8,Petrol,yes,2012,Civic,front
Skoda,13450,sedan,109,1.8,Petrol,yes,2012,Octavia A5,front
Volkswagen,13499,sedan,162,1.4,Petrol,yes,2012,Passat B7,front
Nissan,13500,crossover,52,2,Petrol,yes,2012,Qashqai,full
Skoda,13500,sedan,95,1.8,Petrol,yes,2012,Octavia A5,front
Renault,13500,van,198,1.5,Diesel,yes,2012,Grand Scenic,front
Volkswagen,13500,hatch,48,1.4,Petrol,yes,2012,Polo,front
Citroen,13600,hatch,128,1.6,Diesel,yes,2012,C4,
Citroen,13650,hatch,111,1.6,Gas,yes,2012,C4,front
Volkswagen,13700,sedan,134,2,Diesel,yes,2012,Passat B6,front
Honda,13700,sedan,14,1.8,Petrol,yes,2012,Civic,front
Skoda,13750,vagon,155,1.6,Diesel,yes,2012,Octavia A5,
Skoda,13777,vagon,175,1.6,Diesel,yes,2012,Octavia A5,front
Skoda,13800,sedan,109,1.9,Diesel,yes,2012,Octavia A5,front
Skoda,13800,sedan,125,1.8,Petrol,yes,2012,Octavia A5,front
Hyundai,13800,other,57,1.6,Petrol,yes,2012,Elantra,front
Nissan,13900,hatch,45,NA,Other,yes,2012,Leaf,front
Volkswagen,13900,crossover,156,2,Diesel,yes,2012,T6 (Transporter) груз,front
Hyundai,13900,sedan,75,1.6,Petrol,yes,2012,Elantra,front
Toyota,13900,hatch,79,1.6,Gas,yes,2012,Auris,front
Citroen,13900,hatch,57,1.6,Gas,yes,2012,DS4,front
Kia,13900,hatch,75,1.6,Petrol,yes,2012,Ceed,front
Toyota,13900,hatch,90,1.6,Petrol,yes,2012,Auris,
Hyundai,13950,sedan,67,1.8,Petrol,yes,2012,Elantra,front
Volkswagen,13950,hatch,104,1.2,Petrol,yes,2012,Golf Plus,front
Opel,13999,van,180,2,Diesel,yes,2012,Vivaro пасс.,front
Renault,13999,van,180,2,Diesel,yes,2012,Trafic пасс.,front
Volkswagen,13999,van,175,2,Diesel,yes,2012,T5 (Transporter) груз,front
Skoda,13999,sedan,88,1.8,Petrol,yes,2012,Octavia A5,front
Fiat,13999,other,120,1.6,Diesel,yes,2012,Doblo пасс.,front
Citroen,13999,van,67,1.6,Diesel,yes,2012,Berlingo пасс.,front
Toyota,14100,hatch,67,1.6,Petrol,yes,2012,Auris,front
Renault,14200,crossover,83,2,Diesel,yes,2012,Koleos,full
Mercedes-Benz,14500,van,205,2.2,Diesel,yes,2012,Sprinter 313 груз.,
Volkswagen,14500,van,168,2,Diesel,yes,2012,T5 (Transporter) груз,front
Hyundai,14500,sedan,134,2,Gas,yes,2012,Sonata,front
Skoda,14500,sedan,40,1.8,Petrol,yes,2012,Octavia A5,front
Opel,14500,vagon,95,1.4,Petrol,yes,2012,Insignia,front
Mercedes-Benz,14600,van,217,2.2,Diesel,yes,2012,Vito груз.,rear
Skoda,14600,sedan,58,1.8,Petrol,yes,2012,Octavia A5,front
Skoda,14700,vagon,77,1.8,Petrol,yes,2012,Octavia Scout,full
Volkswagen,14700,sedan,97,1.4,Gas,yes,2012,Passat B7,front
Peugeot,14799,vagon,130,1.6,Diesel,yes,2012,508,front
Hyundai,14800,sedan,52,NA,Petrol,yes,2012,Elantra,front
Volkswagen,14800,other,177,2,Diesel,yes,2012,T5 (Transporter) груз,
Skoda,14800,sedan,12,1.6,Petrol,yes,2012,Octavia A5,front
Volkswagen,14800,van,65,1.6,Diesel,yes,2012,Caddy пасс.,front
Hyundai,14850,sedan,75,18,Gas,yes,2012,Elantra,front
Volkswagen,14899,van,158,2,Diesel,yes,2012,T5 (Transporter) груз,front
Volkswagen,14900,sedan,73,NA,Petrol,yes,2012,Jetta,front
Hyundai,14900,sedan,74,2.4,Gas,yes,2012,Sonata,front
Mercedes-Benz,14900,van,211,2.2,Other,yes,2012,Vito груз.,
Skoda,14900,sedan,108,1.9,Diesel,yes,2012,Octavia A5,front
Skoda,14900,hatch,87,1.8,Petrol,yes,2012,Octavia A5,front
Skoda,14900,hatch,710,1.8,Petrol,yes,2012,Octavia A5,front
Volkswagen,14900,van,170,1.6,Diesel,yes,2012,Touran,front
Skoda,14950,sedan,85,1.8,Petrol,yes,2012,Octavia A5,front
Renault,14999,van,54,66,Other,yes,2012,Kangoo пасс.,front
Volkswagen,15000,vagon,69,1.4,Petrol,yes,2012,Touran,front
Skoda,15300,vagon,140,1.6,Diesel,yes,2012,Superb,front
Nissan,15500,hatch,24,NA,Other,yes,2012,Leaf,front
Ford,15500,hatch,27,NA,Other,yes,2012,Focus Electric,front
BMW,15500,sedan,89,2,Diesel,no,2012,520,rear
Hyundai,15500,sedan,125,2,Petrol,yes,2012,Sonata,front
SsangYong,15500,crossover,87,2,Diesel,yes,2012,Korando,full
Skoda,15500,hatch,69,1.8,Petrol,yes,2012,Octavia A5,front
Nissan,15700,other,0,NA,Other,yes,2012,Juke,
Nissan,15700,crossover,65,2,Petrol,yes,2012,Qashqai,
Peugeot,15700,vagon,55,1.6,Diesel,yes,2012,3008,front
Nissan,15800,crossover,56,2,Petrol,yes,2012,Qashqai,full
Volkswagen,15800,van,194,2,Diesel,yes,2012,T5 (Transporter) груз,front
Subaru,15800,crossover,82,2,Petrol,yes,2012,Forester,full
Skoda,15800,vagon,155,1.6,Diesel,yes,2012,Superb,front
Volkswagen,15900,sedan,103,NA,Petrol,yes,2012,Jetta,front
Volkswagen,15900,sedan,150,2,Diesel,yes,2012,Passat B7,
Volkswagen,15900,vagon,1,2,Diesel,yes,2012,T6 (Transporter) груз,front
Volkswagen,15900,sedan,77,1.4,Petrol,yes,2012,Jetta,front
Alfa Romeo,15999,hatch,60,1.4,Petrol,yes,2012,Giulietta,front
Mitsubishi,16000,crossover,59,NA,Petrol,yes,2012,ASX,front
Hyundai,16000,crossover,55,2,Gas,yes,2012,Tucson,full
Skoda,16000,crossover,81,1.8,Petrol,yes,2012,Yeti,full
Honda,16000,sedan,46,1.8,Petrol,yes,2012,Civic,front
Toyota,16030,sedan,90,2.5,Gas,yes,2012,Camry,front
Kia,16200,crossover,137,2,Gas,yes,2012,Sportage,front
Nissan,16200,crossover,81,2,Gas,yes,2012,Qashqai,full
Volkswagen,16200,hatch,44,1.4,Petrol,yes,2012,Golf VI,front
Hyundai,16300,sedan,93,2.4,Gas,yes,2012,Sonata,front
Skoda,16300,sedan,103,1.8,Petrol,yes,2012,Superb,front
Kia,16300,crossover,100,1.7,Diesel,yes,2012,Sportage,front
Nissan,16300,crossover,32,1.6,Petrol,yes,2012,Juke,front
Ford,16350,sedan,50,2,Petrol,yes,2012,Mondeo,front
Ford,16400,sedan,125,2.5,Petrol,yes,2012,Kuga,full
Volkswagen,16450,van,143,2,Diesel,yes,2012,T5 (Transporter) груз,front
Volkswagen,16500,sedan,87,NA,Other,yes,2012,Passat B7,front
Mercedes-Benz,16500,van,152,2.2,Diesel,yes,2012,Vito пасс.,rear
Skoda,16500,sedan,94,1.9,Diesel,yes,2012,Octavia A5,front
Nissan,16700,crossover,79,2,Gas,yes,2012,Qashqai,full
Nissan,16700,crossover,79,2,Gas,yes,2012,Qashqai+2,full
Nissan,16800,crossover,150,2,Petrol,yes,2012,X-Trail,full
Ford,16900,sedan,79,2,Petrol,yes,2012,Mondeo,front
Kia,16900,sedan,72,2,Petrol,yes,2012,Optima,front
Audi,16999,hatch,69,1.4,Petrol,yes,2012,A1,front
Volvo,17000,sedan,135,1.6,Petrol,yes,2012,S60,front
Hyundai,17200,crossover,92,2.2,Diesel,yes,2012,Santa FE,full
Kia,17300,crossover,58,1.7,Diesel,yes,2012,Sportage,front
Volkswagen,17400,sedan,73,1.8,Petrol,yes,2012,Passat B7,front
Hyundai,17500,crossover,88,NA,Other,yes,2012,IX35,
Mercedes-Benz,17500,van,220,3,Diesel,yes,2012,Vito груз.,rear
Hyundai,17500,crossover,100,2,Other,yes,2012,IX35,full
Nissan,17500,crossover,45,2,Petrol,yes,2012,Qashqai,full
Honda,17500,sedan,57,2,Petrol,yes,2012,Accord,front
SsangYong,17500,crossover,91,2,Diesel,yes,2012,Kyron,full
Mitsubishi,17500,crossover,38,1.8,Petrol,yes,2012,ASX,front
Volkswagen,17500,sedan,76,1.8,Petrol,yes,2012,Passat B7,front
Skoda,17500,sedan,127,1.8,Petrol,yes,2012,Superb,front
Volkswagen,17500,sedan,144,1.4,Petrol,yes,2012,Passat CC,front
Alfa Romeo,17500,hatch,800,1.4,Petrol,yes,2012,Giulietta,front
Volkswagen,17650,sedan,110,1.8,Petrol,yes,2012,Passat B7,front
Ford,17700,crossover,67,2.5,Petrol,yes,2012,Kuga,full
Kia,17700,crossover,50,2,Petrol,yes,2012,Sportage,front
Kia,17700,crossover,93,2,Gas,yes,2012,Sportage,full
Mercedes-Benz,17800,van,162,1.8,Diesel,yes,2012,B 180,front
Mercedes-Benz,17800,van,162,1.8,Diesel,yes,2012,B 180,front
Mercedes-Benz,17800,van,162,1.8,Diesel,yes,2012,B 180,front
SsangYong,17900,crossover,67,2.7,Diesel,yes,2012,Rexton II,full
Mercedes-Benz,17900,van,167,2.2,Diesel,yes,2012,Vito груз.,
Volkswagen,17900,other,119,2,Diesel,yes,2012,T6 (Transporter) пасс.,front
Volkswagen,17900,vagon,115,1.8,Petrol,yes,2012,Passat B7,front
Skoda,17900,sedan,13,1.8,Petrol,yes,2012,Octavia A5,front
Skoda,17900,sedan,57,1.4,Petrol,yes,2012,Superb,front
Volkswagen,17900,van,92,1.4,Petrol,yes,2012,Sharan,front
Volkswagen,17900,crossover,70,1.4,Petrol,yes,2012,Tiguan,front
Volkswagen,17999,sedan,80,1.8,Petrol,yes,2012,Passat B7,
Hyundai,18000,crossover,55,2,Petrol,yes,2012,IX35,full
Hyundai,18200,crossover,88,2,Petrol,yes,2012,IX35,full
Hyundai,18300,other,0,NA,Other,yes,2012,Sonata,
Ford,18300,crossover,36,2.5,Petrol,yes,2012,Kuga,full
BMW,18500,sedan,79,3,Diesel,no,2012,530,rear
Chevrolet,18500,sedan,51,2.4,Gas,yes,2012,Malibu,front
Subaru,18500,crossover,80,2,Petrol,yes,2012,Forester,full
Skoda,18500,vagon,59,1.8,Petrol,yes,2012,Octavia Scout,full
Nissan,18500,crossover,42,1.6,Petrol,yes,2012,Juke,full
Kia,18700,crossover,34,2,Gas,yes,2012,Sportage,full
Hyundai,18750,crossover,93,2.4,Gas,yes,2012,Santa FE,full
Kia,18800,crossover,86,2.4,Gas,yes,2012,Sorento,full
Hyundai,18800,crossover,27,2,Petrol,yes,2012,IX35,full
Toyota,18800,vagon,89,1.8,Petrol,yes,2012,Avensis,front
Subaru,18900,crossover,100,2,Petrol,yes,2012,Forester,full
Volkswagen,18900,hatch,56,2,Petrol,yes,2012,Golf GTI,front
Volkswagen,18999,sedan,122,1.8,Petrol,yes,2012,Passat CC,front
Chevrolet,19000,crossover,124,2.4,Gas,yes,2012,Captiva,full
Ford,19000,sedan,21,2,Petrol,yes,2012,Mondeo,front
Mitsubishi,19000,crossover,47,2,Petrol,yes,2012,ASX,full
Volkswagen,19000,sedan,109,1.8,Petrol,yes,2012,Passat B7,front
Nissan,19000,crossover,70,1.6,Petrol,yes,2012,Qashqai,front
Volkswagen,19100,other,120,1.4,Petrol,yes,2012,Scirocco,front
Opel,19200,hatch,54,1.4,Other,yes,2012,Ampera,front
Toyota,19200,hatch,54,1.4,Other,yes,2012,Prius,front
Chevrolet,19200,hatch,54,1.4,Other,yes,2012,Volt,front
Kia,19300,crossover,117,NA,Gas,yes,2012,Sorento,full
Ford,19300,crossover,61,2,Diesel,yes,2012,Kuga,full
Mitsubishi,19400,crossover,78,NA,Petrol,yes,2012,Outlander XL,full
Mitsubishi,19400,crossover,78,2.4,Petrol,yes,2012,Outlander XL,full
Honda,19500,sedan,70,2.4,Petrol,yes,2012,Accord,front
Volvo,19500,sedan,54,1.6,Diesel,yes,2012,S60,front
Honda,19600,sedan,69,2.4,Petrol,yes,2012,Accord,front
Honda,19700,sedan,73,2.4,Gas,yes,2012,Accord,front
Hyundai,19700,crossover,127,2.2,Diesel,yes,2012,Santa FE,full
Ford,19700,sedan,57,2,Petrol,yes,2012,Mondeo,front
Honda,19800,crossover,58,2,Gas,yes,2012,CR-V,full
Volkswagen,19900,other,112,2,Petrol,yes,2012,Passat CC,front
Citroen,19900,hatch,103,1.6,Diesel,yes,2012,DS5,front
Volkswagen,19999,other,48,2,Diesel,yes,2012,Eos,
Volkswagen,19999,van,152,2,Diesel,yes,2012,Sharan,
MINI,20000,hatch,80,1.6,Petrol,yes,2012,Countryman,front
Toyota,20100,crossover,48,2,Petrol,yes,2012,Rav 4,full
Hyundai,20300,crossover,67,2,Diesel,yes,2012,IX35,full
Hyundai,20300,crossover,55,2,Diesel,yes,2012,IX35,full
Volkswagen,20350,vagon,111,2,Diesel,yes,2012,Passat B7,front
Honda,20500,crossover,78,2,Gas,yes,2012,CR-V,full
Honda,20600,other,89,2,Petrol,yes,2012,CR-V,full
Volkswagen,20600,sedan,107,1.8,Petrol,yes,2012,Passat CC,front
Volkswagen,20800,other,160,2,Diesel,yes,2012,Amarok,full
Toyota,20900,sedan,70,2.5,Petrol,yes,2012,Camry,front
Volkswagen,20900,sedan,82,2,Diesel,yes,2012,Passat B7,front
Volkswagen,20900,sedan,122,2,Petrol,yes,2012,Passat B7,front
Toyota,20999,sedan,77,2.5,Gas,yes,2012,Camry,front
Volkswagen,21000,other,93,2,Diesel,yes,2012,Passat B7,front
Mazda,21000,crossover,56,2,Petrol,yes,2012,CX-5,full
Hyundai,21400,crossover,96,2.2,Diesel,yes,2012,Santa FE,full
Hyundai,21400,crossover,63,2,Diesel,yes,2012,IX35,full
Mitsubishi,21500,crossover,47,2.4,Petrol,yes,2012,Outlander XL,full
Toyota,21500,crossover,89,2,Petrol,yes,2012,Rav 4,full
Mercedes-Benz,21500,sedan,146,1.8,Gas,yes,2012,E-Class,rear
Mercedes-Benz,21500,sedan,159,1.8,Gas,yes,2012,E-Class,rear
Hyundai,21700,crossover,63,2.2,Diesel,yes,2012,Santa FE,full
Kia,21700,crossover,58,2,Diesel,yes,2012,Sportage,full
Hyundai,21900,sedan,110,3,Petrol,yes,2012,Grandeur,front
Toyota,21900,sedan,88,2.5,Petrol,yes,2012,Camry,front
Hyundai,21900,crossover,71,2.2,Diesel,yes,2012,Santa FE,full
Hyundai,21900,crossover,48,2.2,Diesel,yes,2012,Santa FE,full
Toyota,21999,sedan,80,2.5,Other,yes,2012,Camry,front
Toyota,21999,other,65,2.5,Petrol,yes,2012,Camry,front
Kia,22000,crossover,95,2.4,Petrol,yes,2012,Sorento,full
Mercedes-Benz,22000,van,236,2.2,Diesel,yes,2012,Sprinter 313 пасс.,rear
Volkswagen,22000,sedan,65,2,Petrol,yes,2012,Passat B7,front
Mercedes-Benz,22500,sedan,213,2.2,Diesel,yes,2012,E-Class,rear
Mercedes-Benz,22500,sedan,164,1.8,Gas,yes,2012,E-Class,rear
Hyundai,22600,crossover,89,2.2,Diesel,yes,2012,Santa FE,full
Toyota,22900,crossover,132,2.7,Gas,yes,2012,Venza,full
Toyota,22900,sedan,60,2.5,Petrol,yes,2012,Camry,front
Toyota,22900,sedan,84,2.5,Petrol,yes,2012,Camry,front
Toyota,22900,crossover,34,2,Petrol,yes,2012,Rav 4,full
Kia,22999,crossover,72,2.2,Diesel,yes,2012,Sorento,full
Volkswagen,23300,sedan,115,1.8,Petrol,yes,2012,Passat CC,
Audi,23400,sedan,112,2,Diesel,yes,2012,A4,front
Kia,23500,crossover,125,2.2,Diesel,yes,2012,Sorento,full
Volkswagen,23500,crossover,48,2,Diesel,yes,2012,Tiguan,
Toyota,23600,sedan,105,2.5,Gas,yes,2012,Camry,front
Infiniti,23800,sedan,650,2.5,Petrol,yes,2012,G25,rear
Infiniti,23900,sedan,66,2.5,Gas,yes,2012,G25,rear
Mercedes-Benz,23900,sedan,124,1.8,Petrol,yes,2012,E-Class,rear
MINI,23950,hatch,70,1.6,Petrol,yes,2012,Countryman,full
Volkswagen,23999,sedan,88,NA,Other,yes,2012,Passat CC,
Kia,23999,crossover,14,2.2,Diesel,yes,2012,Sorento,full
Hyundai,23999,crossover,62,2.2,Diesel,yes,2012,Santa FE,full
Volkswagen,23999,sedan,80,1.8,Petrol,yes,2012,Passat CC,
BMW,24000,crossover,108,2,Diesel,yes,2012,X1,full
Volkswagen,24000,sedan,105,2,Diesel,yes,2012,Passat CC,front
Volkswagen,24000,sedan,67,1.8,Petrol,yes,2012,Passat CC,front
Audi,24300,sedan,43,1.8,Petrol,yes,2012,A4,front
Mitsubishi,24500,crossover,11,2.5,Diesel,yes,2012,Pajero Sport,full
Mercedes-Benz,24500,sedan,180,2.2,Diesel,yes,2012,E-Class,rear
Volkswagen,24500,crossover,62,2,Diesel,yes,2012,Passat CC,front
Lexus,24500,hatch,70,1.8,Other,yes,2012,CT,front
BMW,24700,vagon,142,2,Diesel,yes,2012,520,rear
Mercedes-Benz,24900,sedan,97,1.8,Petrol,yes,2012,E-Class,rear
Mercedes-Benz,24999,sedan,112,2.2,Diesel,yes,2012,C-Class,
BMW,24999,vagon,24,2,Petrol,yes,2012,X1,rear
Mercedes-Benz,25000,van,156,NA,Other,yes,2012,Viano пасс.,rear
Porsche,25000,crossover,130,3,Diesel,no,2012,Cayenne,full
BMW,25000,crossover,130,3,Diesel,yes,2012,X5,full
Honda,25000,crossover,20,2,Petrol,yes,2012,CR-V,full
Volkswagen,25200,crossover,78,2,Diesel,yes,2012,Tiguan,full
Audi,25500,sedan,140,2.8,Petrol,yes,2012,A6,front
Mercedes-Benz,25500,sedan,137,2.2,Diesel,yes,2012,E-Class,rear
Volkswagen,25500,other,52,2,Petrol,yes,2012,Scirocco,front
Honda,25900,other,54,3.5,Petrol,yes,2012,Crosstour,full
BMW,25999,sedan,80,2,Petrol,yes,2012,320,rear
Audi,26000,sedan,105,2,Petrol,yes,2012,A6,front
Honda,26000,crossover,68,2,Petrol,yes,2012,CR-V,full
Honda,26000,crossover,68,2,Petrol,yes,2012,CR-V,full
Toyota,26200,other,73,2.5,Diesel,yes,2012,Hilux,full
Land Rover,26500,crossover,53,2.2,Diesel,yes,2012,Freelander,full
Mercedes-Benz,26600,van,122,3,Diesel,yes,2012,Vito пасс.,rear
Mitsubishi,26850,crossover,84,3.2,Diesel,yes,2012,Pajero Wagon,full
BMW,27300,sedan,155,2,Diesel,yes,2012,520,rear
Toyota,27400,crossover,52,3.5,Gas,yes,2012,Venza,full
Jeep,27500,crossover,250,3,Diesel,yes,2012,Grand Cherokee,full
Jaguar,27500,sedan,102,3,Petrol,yes,2012,XF,rear
BMW,27500,sedan,100,2,Petrol,yes,2012,520,rear
Hyundai,27800,crossover,93,3,Diesel,yes,2012,ix55 (Veracruz),full
Toyota,28500,crossover,97,3.5,Petrol,yes,2012,Highlander,full
Audi,28500,sedan,74,1.8,Petrol,yes,2012,A4,front
Toyota,28700,crossover,100,3.5,Petrol,yes,2012,Highlander,full
Toyota,28700,crossover,92,3.5,Gas,yes,2012,Highlander,full
Toyota,28700,crossover,80,3.5,Gas,yes,2012,Highlander,full
Toyota,28900,crossover,83,NA,Petrol,yes,2012,Highlander,full
Toyota,28900,crossover,83,3.5,Gas,yes,2012,Highlander,full
BMW,28900,sedan,78,2,Petrol,yes,2012,528,rear
Audi,28950,crossover,60,2,Petrol,yes,2012,Q5,full
Mercedes-Benz,29500,sedan,37,1.8,Petrol,yes,2012,E-Class,
Mercedes-Benz,29900,sedan,83,2.2,Diesel,yes,2012,E-Class,rear
BMW,29999,other,73,2,Petrol,yes,2012,320,rear
Audi,30500,vagon,152,3,Diesel,yes,2012,A6,full
Mercedes-Benz,30900,sedan,71,2.2,Diesel,yes,2012,E-Class,rear
Audi,30900,crossover,70,2,Petrol,yes,2012,Q3,full
Toyota,30990,crossover,68,2.7,Gas,yes,2012,Land Cruiser Prado,full
BMW,31000,sedan,100,2,Petrol,yes,2012,520,rear
Audi,31500,sedan,140,2,Diesel,yes,2012,A6,front
BMW,32000,crossover,52,3,Petrol,yes,2012,X5,full
BMW,32500,vagon,162,3,Diesel,yes,2012,530,rear
Audi,32500,crossover,108,2,Diesel,yes,2012,Q5,full
BMW,33000,sedan,60,NA,Petrol,yes,2012,328,rear
Mercedes-Benz,33000,crossover,109,2.2,Diesel,yes,2012,GLK 220,full
Volvo,33500,crossover,88,2.4,Diesel,yes,2012,XC90,full
Infiniti,33800,crossover,44,3.7,Petrol,yes,2012,FX 37,full
Chevrolet,34000,other,51,3.6,Petrol,yes,2012,Camaro,rear
Toyota,34000,crossover,44,3.5,Petrol,yes,2012,Highlander,full
Volkswagen,34000,crossover,92,3,Diesel,yes,2012,Touareg,full
Lexus,34500,crossover,94,3.5,Petrol,yes,2012,RX 350,full
Volkswagen,34500,crossover,108,3,Diesel,yes,2012,Touareg,full
Audi,34500,sedan,71,2.8,Petrol,yes,2012,A6,full
BMW,34900,vagon,136,2,Diesel,yes,2012,520,rear
Chevrolet,35000,other,15,3.6,Petrol,yes,2012,Camaro,
Lexus,35000,crossover,33,3.5,Petrol,yes,2012,RX 350,full
Audi,35000,sedan,61,2.8,Petrol,yes,2012,A6,full
Toyota,35500,crossover,85,3,Diesel,yes,2012,Land Cruiser Prado,full
Land Rover,35700,crossover,90,5,Petrol,yes,2012,Range Rover,full
Infiniti,35999,crossover,98,3.7,Gas,yes,2012,FX 37,full
Infiniti,36500,crossover,112,3,Diesel,yes,2012,FX 30,rear
Toyota,36700,crossover,43,3,Diesel,yes,2012,Land Cruiser Prado,full
Toyota,36800,crossover,77,3,Diesel,yes,2012,Land Cruiser Prado,full
Infiniti,36900,crossover,82,3,Diesel,yes,2012,FX 30,full
Audi,37000,sedan,37,2.8,Petrol,yes,2012,A6,full
Nissan,37900,crossover,92,5.6,Petrol,yes,2012,Patrol,full
Volkswagen,37900,crossover,73,3,Diesel,yes,2012,Touareg,full
Volkswagen,37900,crossover,73,3,Diesel,yes,2012,Touareg,full
Volkswagen,37990,crossover,140,3,Diesel,yes,2012,Touareg,full
Volkswagen,38000,crossover,189,3,Diesel,yes,2012,Touareg,full
BMW,38500,sedan,140,2,Diesel,yes,2012,520,rear
Mercedes-Benz,38600,other,12,1.8,Petrol,yes,2012,E-Class,rear
Nissan,38800,crossover,112,5.6,Petrol,yes,2012,Patrol,full
BMW,39500,vagon,93,2,Diesel,yes,2012,525,full
Audi,39800,sedan,180,4.2,Other,yes,2012,A8,full
Land Rover,39900,crossover,120,5,Petrol,yes,2012,Range Rover,full
Land Rover,39900,crossover,120,5,Petrol,yes,2012,Range Rover,full
Jeep,40000,crossover,45,3,Diesel,yes,2012,Grand Cherokee,full
Volkswagen,40500,crossover,37,3,Diesel,yes,2012,Touareg,full
BMW,41000,crossover,80,3,Petrol,yes,2012,X6,full
BMW,41000,crossover,80,3,Petrol,yes,2012,X6,full
BMW,41500,crossover,176,3,Diesel,yes,2012,X5,full
BMW,41500,vagon,42,2,Petrol,yes,2012,X3,full
Toyota,41900,crossover,89,4.5,Diesel,yes,2012,Land Cruiser 200,full
Land Rover,42000,crossover,60,2,Petrol,yes,2012,Range Rover Evoque,full
Toyota,42500,crossover,50,3,Diesel,yes,2012,Land Cruiser Prado,full
Land Rover,43500,crossover,54,5,Petrol,yes,2012,Range Rover Sport,full
Mercedes-Benz,43900,crossover,89,3,Diesel,yes,2012,ML 350,full
BMW,44000,crossover,80,3,Diesel,yes,2012,X5,full
